2 4 E 15
1 3 H 14
4 6 C 13
4 4 D 13
4 5 B 13
1 2 H 7
4 6 H 11
2 6 B 7
2 6 E 14
4 4 E 8
1 6 F 13
3 6 H 17
2 5 C 7
4 6 E 9
1 4 B 8
1 5 C 20
2 2 B 18
4 1 D 20
3 1 H 1
1 3 H 10
4 1 F 12
3 3 A 10
3 4 G 1
3 5 D 6
4 6 D 12
4 1 F 12
3 4 C 9
4 6 E 19
2 5 B 10
2 4 C 2
2 2 H 6
2 6 G 9
2 4 E 12
1 3 C 2
1 5 D 9
2 3 G 13
3 4 H 18
2 5 D 9
3 1 E 18
1 4 B 13
4 2 B 6
2 5 B 19
3 6 F 12
2 1 E 8
3 2 H 19
2 5 C 14
1 4 E 19
1 2 E 5
1 3 E 18
3 6 D 7
3 3 G 3
1 2 G 16
2 2 A 7
2 1 A 18
1 2 H 3
4 4 A 2
1 3 F 7
1 6 H 5
4 6 G 10
2 4 G 9
1 1 C 20
3 1 F 17
2 4 H 19
1 6 E 8
4 2 E 18
3 3 G 7
2 5 G 5
1 5 B 2
3 3 G 3
4 5 A 3
4 2 B 19
4 4 B 19
3 6 A 11
1 5 A 19
2 3 G 4
2 5 C 20
4 4 E 8
1 5 C 12
3 2 A 6
2 6 H 15
1 1 B 10
3 6 E 6
3 2 F 7
2 2 H 4
1 2 D 7
3 5 C 15
4 5 C 14
1 2 F 19
2 1 A 7
2 6 C 20
2 1 E 13
4 6 A 3
1 3 E 3
1 6 B 14
2 5 H 1
4 4 E 13
3 6 F 17
1 2 D 5
1 3 C 19
1 5 G 8
